Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 33080, 17374, -0.003067002, 0.003487945, 0.187789, -0.002071, -8.499995E-05, 2.899766E-05, 15:31:09.758
0x0, 33081, 17375, -0.014312, 0.01199305, 0.1853104, -0.00178, -0.0002569994, 0.0007699989, 15:31:09.766
0x0, 33082, 17376, -0.003656998, -0.009580016, 0.1796231, -0.001044, -0.0005679997, 0.0003849976, 15:31:09.773
0x0, 33083, 17377, 0.009761989, -0.003597975, 0.187851, -0.001315, -0.0004039994, 0.0002430007, 15:31:09.782
0x0, 33084, 17378, 0.00311999, -0.006644964, 0.188971, -0.001582, -9.499956E-05, -9.199977E-05, 15:31:09.790
0x0, 33085, 17379, -0.006493002, 0.01546001, 0.2128611, -0.001882, -0.0003029993, 2.000481E-06, 15:31:09.798
0x0, 33086, 17380, -0.01101901, 0.01544905, 0.192122, -0.001637, -0.0002899999, 0.0001420006, 15:31:09.806
0x0, 33087, 17381, -0.002637997, 0.004397988, 0.2024369, -0.002006, -0.0001179995, -0.0003629997, 15:31:09.813
0x0, 33088, 17382, 0.002123997, -0.01842499, 0.188581, -0.001757, -0.0003829999, 0.0005649999, 15:31:09.821
0x0, 33089, 17383, 0.007303998, -0.008535981, 0.1990151, -0.001143, 1.500081E-05, 0.0003539994, 15:31:09.830
0x0, 33090, 17384, 0.01236199, 0.01067197, 0.2032142, -0.00132, -0.0005899994, -0.0001830012, 15:31:09.838
0x0, 33091, 17385, 0.00346899, 0.007681966, 0.190124, -0.001748, -0.0002819998, 0.0004040003, 15:31:09.846
0x0, 33092, 17386, 0.006420001, -0.004456043, 0.197979, -0.001989, -0.0003959993, 0.0002159998, 15:31:09.853
0x0, 33093, 17387, -0.007410005, 0.008205056, 0.1924443, -0.001899, -0.000523, 0.0004479997, 15:31:09.861
0x0, 33094, 17388, 0.01011899, 0.00405097, 0.1831012, -0.001238, -0.0004489999, 5.000085E-05, 15:31:09.871
0x0, 33095, 17389, -0.01821801, -0.01365304, 0.1978192, -0.001017, 7.700082E-05, 0.0002849996, 15:31:09.879
0x0, 33096, 17390, 0.010278, -0.001816034, 0.1992574, -0.001189, -0.0002779998, 2.999976E-05, 15:31:09.886
0x0, 33097, 17391, -0.009897009, 0.006811976, 0.2005563, -0.000945, -4.699919E-05, 2.000481E-06, 15:31:09.893
0x0, 33098, 17392, 0.006018996, -0.002104998, 0.2044554, -0.001766, 0.0002070004, 0.0003970005, 15:31:09.901
0x0, 33099, 17393, -0.01405901, 0.02082098, 0.2128072, -0.001682, -7.099938E-05, 0.0002699979, 15:31:09.910
